血液ガス分析の正常値はPaO2が{{c1::80}}～{{c1::100}}Torr，PaCO2が{{c1::40}}±{{c1::5}}Torr．	
成長ホルモンは{{c1::中性脂肪分解}}作用を有し，低栄養時に{{c1::高}}値となる。肝で産生されるIGF-Ⅰは低栄養状態には{{c1::低}}値となる．	成長ホルモンは中性脂肪分解作用を有し，低栄養時に高値となってエネルギー源を糖から脂肪酸にシフトさせる．ただし肝で産生されるIGF-Ⅰは低栄養状態には低値となる．
一般的な腟炎の原因としては一般細菌，{{c1::真菌}}，{{c1::ヘルペス}}，{{c1::トリコモナス}}，{{c1::クラミジア}}，{{c1::淋菌}}などがあるが，産褥期の腟炎の原因菌としては{{c2::大腸菌}}が多い．	
ニューモシスチス肺炎の治療は{{c1::ST合剤}}である。	
{{c1::ニューモシスチス}}肺炎は、{{c2::細胞}}性免疫不全者に発症する日和見感染症であり，{{c2::AIDSの指標疾患}}として重要である。	
DKA，高二酸化炭素血症などの代謝性疾患では自律神経系の機能異常のために，進行すると両側の{{c1::縮}}瞳をきたす．	
小児においては、以下のような電解質異常により痙攣を起こしうる。 {{c1::低Na}}血症，{{c1::高Na}}血症，{{c1::低Ca}}血症，{{c1::低Mg}}血症	
{{c1::West}}症候群は{{c2::結節性硬化}}症と合併することが多い	
結節性硬化症の皮膚症状は、左右{{c1::対称}}性{{c1::顔面血管線維}}腫，{{c1::白斑}}，{{c1::爪線維}}腫，{{c1::粒起革}}様皮膚（{{c1::shagreen patch}}，結合組織母斑）など。	シャグリンパッチ
Sturge-Weber病は、顔面{{c1::一}}側の広範な{{c1::単純性血管腫}}，脳内{{c1::軟}}膜血管腫による神経症状，{{c1::脈絡膜}}血管病変による{{c1::眼}}症状（{{c1::緑内障}}）を三徴とする。	
早期の原発開放隅角緑内障に症状がみられることはまれである。通常，患者は視神経萎縮が顕著になって初めて{{c1::視野欠損}}に気づく。	
セミノーマは{{c1::後腹膜}}リンパ節、{{c1::傍大動脈}}リンパ節、{{c1::肺}}にまず転移が出現することがほとんどである．	
セレン欠乏症としてよく知られるものに，克山病（Keshan disease）がある．これは中国の低セレン土壌の地域にみられる風土病的な{{c1::心筋}}障害である．	
Fanconi症候群では近位尿細管からのPの再吸収が{{c1::減少}}するため，{{c1::低}}リン血症が惹起される．	
{{c1::ATL}}（{{c1::成人T細胞白血病}}）では花弁様の異型リンパ球を認める。	
永山斑は{{c1::突発性発疹}}の特徴的口腔内所見とされる	
うつ状態を呈することが多い神経疾患 ●{{c1::髄膜}}炎，{{c1::脳}}炎 ●{{c1::脳血管}}障害 ●{{c1::多発性硬化}}症 ●{{c1::Parkinson}}病 ●{{c1::Huntington}}病	
{{c1::膜性腎症}}は糸球体{{c2::基底膜}}のびまん性{{c2::肥厚}}と基底膜の{{c2::上皮}}側に沈着物を認める疾患	
子宮破裂の多くは多量の性器出血を引き起こ{{c1::さない}}．	子宮破裂の多くは内出血を呈する。
閉塞性尿路感染症の治療法として，{{c1::抗菌薬}}の投与とともに，尿流の確保が重要な治療法である．その尿流の確保の手段として{{c2::超音波ガイド下経皮的腎瘻造設}}術と{{c2::尿管ステント留置}}術とがある。	
伝染性単核球症の原因ウイルスは{{c1::EB}}ウイルスと{{c1::サイトメガロ}}ウイルスである。	
妊婦がパルボイウルスB19に初めて感染した場合、約2割でウイルスが胎盤を通過し胎児感染を起こし、そのうち約2割が胎児の{{c1::貧血}}や{{c1::胎児水腫}}を起こす。そのため、胎児の血流評価として、{{c1::中大脳}}動脈を用いる。	
胃全摘術の再建術式として一般的なRoux-en-Y法においては，{{c1::食道}}-{{c1::空腸}}吻合および{{c1::十二指腸断端閉鎖}}部の縫合不全が術後合併症として重要であり，その際の診断および治療のためにそれぞれに対応した部位である{{c2::左横隔膜下}}と{{c2::Winslow孔}}部にドレーン先端を留置する．	winslow孔とは網嚢孔のこと。
NSAIDSによる{{c1::急性腎障害}}で心不全の急性増悪のような症状を来すことがある。	
{{c1::増殖糖尿病網膜}}症、{{c1::網膜静脈閉塞}}症、{{c1::内頸動脈狭窄}}症では、網膜虚血により隅角、瞳孔縁、虹彩に{{c2::血管新生}}をきたし、{{c2::血管新生緑内障}}となることがある。	
器具名は	Goldmann圧平眼圧計
診断は	dupuytren拘縮
Bishop 0 1 2 3 子宮口開大度 {{c1::0}} {{c1::1~2}} {{c1::3~4}} {{c1::5~6}} 頸管展退度 {{c1::0~30}} {{c1::40~50}} {{c1::60~70}} {{c1::80~}} station {{c1::-3}} {{c1::-2}} {{c1::-1~0}} {{c1::+1}} 頸部の硬度 {{c1::硬}} {{c1::中}} {{c1::軟}} 子宮口の位置 {{c1::後方}} {{c::1中央}} {{c1::前方}}	
呼吸窮迫症候群の主要病態は{{c1::サーファクタント}}欠乏による肺胞の{{c1::虚脱}}であるが、胎便吸引症候群の主病態は、胎便による末梢気道{{c1::閉塞}}による{{c1::肺気腫}}・{{c1::無気肺}}である。	
心筋活動電位の延長により心電図上でQT延長（QTc =QT/√(RR)＞0.44）がみられ，{{c1::Torsades de pointes}}という特殊な{{c1::多形性心室頻拍}}をきたす．	
耳硬化症は{{c1::アブミ骨の底板}}と{{c1::前庭窓}}の間の可動性が損なわれ，{{c1::伝音}}難聴をきたす疾患である。	
間質性腎炎では血尿をきた{{c1::さない}}。	
